Date,NAV,Dividend,TotalReturn
2023-04-27,0.3671,,0.3671
2023-04-28,0.369,,0.369
2023-05-02,0.3681,,0.3681
2023-05-03,0.3668,,0.3668
2023-05-05,0.3721,,0.3721
2023-05-08,0.3735,,0.3735
2023-05-09,0.3692,,0.3692
2023-05-10,0.3693,,0.3693
2023-05-11,0.369,,0.369
2023-05-12,0.3673,,0.3673
2023-05-15,0.3701,,0.3701
2023-05-16,0.3682,,0.3682
2023-05-17,0.3641,,0.3641
2023-05-18,0.3637,,0.3637
2023-05-19,0.3646,,0.3646
2023-05-22,0.3648,,0.3648
2023-05-23,0.3671,,0.3671
2023-05-24,0.3663,,0.3663
2023-05-25,0.3638,,0.3638
2023-05-26,0.363,,0.363
2023-05-29,0.3635,,0.3635
2023-05-30,0.3617,,0.3617
2023-05-31,0.3596,,0.3596
2023-06-01,0.3632,,0.3632
2023-06-02,0.3628,,0.3628
2023-06-06,0.3632,,0.3632
2023-06-07,0.3632,,0.3632
2023-06-08,0.3622,,0.3622
2023-06-09,0.3612,,0.3612
2023-06-12,0.3628,,0.3628
2023-06-13,0.3619,,0.3619
2023-06-14,0.3656,,0.3656
2023-06-15,0.3704,,0.3704
2023-06-16,0.3729,,0.3729
2023-06-19,0.3702,,0.3702
2023-06-20,0.3712,,0.3712
2023-06-21,0.3705,,0.3705
2023-06-22,0.3672,,0.3672
2023-06-23,0.3601,,0.3601
2023-06-26,0.3582,,0.3582
2023-06-27,0.3615,,0.3615
2023-06-28,0.3642,,0.3642
2023-06-30,0.3633,,0.3633
2023-07-03,0.3675,,0.3675
2023-07-04,0.3676,,0.3676
2023-07-05,0.3637,,0.3637
2023-07-06,0.3616,,0.3616
2023-07-07,0.3587,,0.3587
2023-07-10,0.3588,,0.3588
2023-07-11,0.3621,,0.3621
2023-07-12,0.3678,,0.3678
2023-07-13,0.3723,,0.3723
2023-07-14,0.3683,,0.3683
2023-07-17,0.3692,,0.3692
2023-07-18,0.3678,,0.3678
2023-07-20,0.3684,,0.3684
2023-07-21,0.3683,,0.3683
2023-07-24,0.3693,,0.3693
2023-07-25,0.3706,,0.3706
2023-07-26,0.3699,,0.3699
2023-07-27,0.3702,,0.3702
2023-07-28,0.3696,,0.3696
2023-07-31,0.3635,,0.3635
2023-08-01,0.3626,,0.3626
2023-08-02,0.3585,,0.3585
2023-08-03,0.3581,,0.3581
2023-08-04,0.3568,,0.3568
2023-08-07,0.3583,,0.3583
2023-08-08,0.3579,,0.3579
2023-08-09,0.3567,,0.3567
2023-08-10,0.357,,0.357
2023-08-11,0.3542,,0.3542
2023-08-14,0.3506,,0.3506
2023-08-15,0.3504,,0.3504
2023-08-16,0.3493,,0.3493
2023-08-17,0.3509,,0.3509
2023-08-18,0.3499,,0.3499
2023-08-21,0.3473,,0.3473
2023-08-22,0.3462,,0.3462
2023-08-23,0.3496,,0.3496
2023-08-24,0.3503,,0.3503
2023-08-25,0.3502,,0.3502
2023-08-28,0.346,0.0073,0.35329999999999995
2023-08-29,0.3458,,0.35309999999999997
2023-08-30,0.35,,0.35729999999999995
2023-09-01,0.3488,,0.35609999999999997
2023-09-04,0.3501,,0.3574
2023-09-05,0.3481,,0.3554
2023-09-06,0.3475,,0.35479999999999995
2023-09-07,0.3467,,0.354
2023-09-08,0.3469,,0.35419999999999996
2023-09-11,0.3479,,0.35519999999999996
2023-09-12,0.3467,,0.354
2023-09-13,0.345,,0.35229999999999995
2023-09-14,0.3455,,0.35279999999999995
2023-09-15,0.3494,,0.35669999999999996
2023-09-18,0.3478,,0.35509999999999997
2023-09-19,0.3481,,0.3554
2023-09-20,0.3477,,0.355
2023-09-21,0.3418,,0.34909999999999997
2023-09-22,0.3417,,0.349
2023-09-25,0.3404,,0.34769999999999995
2023-09-26,0.338,,0.3453
2023-09-27,0.3357,,0.34299999999999997
2023-09-29,0.3383,,0.34559999999999996
2023-10-02,0.3337,,0.34099999999999997
2023-10-03,0.3314,,0.33869999999999995
2023-10-04,0.3278,,0.33509999999999995
2023-10-05,0.3301,,0.3374
2023-10-06,0.3266,,0.3339
2023-10-09,0.3277,,0.33499999999999996
2023-10-10,0.3334,,0.34069999999999995
2023-10-11,0.3334,,0.34069999999999995
2023-10-12,0.336,,0.3433
2023-10-13,0.331,,0.3383
2023-10-16,0.3304,,0.3377
2023-10-17,0.3323,,0.33959999999999996
2023-10-18,0.3262,,0.33349999999999996
2023-10-19,0.3229,,0.3302
2023-10-20,0.3166,,0.32389999999999997
2023-10-23,0.3178,,0.3251
2023-10-24,0.3223,,0.32959999999999995
2023-10-25,0.3181,,0.32539999999999997
2023-10-26,0.315,,0.3223
2023-10-27,0.3175,,0.3248
2023-10-30,0.3188,,0.32609999999999995
2023-10-31,0.3186,,0.32589999999999997
2023-11-01,0.3196,,0.32689999999999997
2023-11-02,0.3292,,0.33649999999999997
2023-11-03,0.3371,,0.3444
2023-11-06,0.335,,0.3423
2023-11-07,0.3316,,0.3389
2023-11-08,0.3302,,0.33749999999999997
2023-11-09,0.3314,,0.33869999999999995
2023-11-10,0.3288,,0.33609999999999995
2023-11-14,0.3347,,0.34199999999999997
2023-11-15,0.3458,,0.35309999999999997
2023-11-16,0.3435,,0.3508
2023-11-17,0.3432,,0.3505
2023-11-20,0.3448,,0.35209999999999997
2023-11-21,0.346,,0.35329999999999995
2023-11-22,0.3464,,0.35369999999999996
2023-11-23,0.3488,,0.35609999999999997
2023-11-24,0.3492,,0.3565
2023-11-27,0.3473,,0.35459999999999997
2023-11-28,0.344,,0.35129999999999995
2023-11-29,0.3456,,0.3529
2023-11-30,0.344,,0.35129999999999995
2023-12-01,0.346,,0.35329999999999995
2023-12-04,0.3472,,0.3545
2023-12-05,0.3447,,0.352
2023-12-06,0.3479,,0.35519999999999996
2023-12-07,0.349,,0.35629999999999995
2023-12-08,0.3501,,0.3574
2023-12-11,0.3506,,0.3579
2023-12-12,0.3529,,0.36019999999999996
2023-12-13,0.3545,,0.36179999999999995
2023-12-14,0.3698,,0.3771
2023-12-15,0.3699,,0.3772
2023-12-18,0.3664,,0.3737
2023-12-19,0.3679,,0.3752
2023-12-20,0.3656,,0.37289999999999995
2023-12-21,0.3676,,0.37489999999999996
2023-12-22,0.3671,,0.37439999999999996
2023-12-26,0.3673,,0.3746
2023-12-27,0.3709,,0.3782
2023-12-28,0.3729,,0.3802
2023-12-29,0.3725,,0.37979999999999997
2024-01-02,0.3682,,0.3755
2024-01-03,0.3677,,0.375
2024-01-04,0.3652,,0.3725
2024-01-05,0.367,,0.37429999999999997
2024-01-08,0.3652,,0.3725
2024-01-09,0.3644,,0.3717
2024-01-10,0.3623,,0.3696
2024-01-11,0.3667,,0.374
2024-01-12,0.3648,,0.3721
2024-01-15,0.3651,,0.37239999999999995
2024-01-16,0.3649,,0.3722
2024-01-17,0.358,,0.36529999999999996
2024-01-18,0.3562,,0.3635
2024-01-19,0.3555,,0.36279999999999996
2024-01-22,0.3571,,0.36439999999999995
2024-01-23,0.3566,,0.36389999999999995
2024-01-24,0.3627,,0.37
2024-01-26,0.3539,,0.36119999999999997
2024-01-29,0.3524,,0.35969999999999996
2024-01-30,0.3558,,0.3631
2024-01-31,0.3606,,0.36789999999999995
2024-02-02,0.3588,,0.3661
2024-02-05,0.3539,,0.36119999999999997
2024-02-06,0.3559,,0.36319999999999997
2024-02-07,0.3578,,0.3651
2024-02-08,0.3548,,0.3621
2024-02-09,0.3564,,0.36369999999999997
2024-02-13,0.3546,,0.3619
2024-02-14,0.3534,,0.36069999999999997
2024-02-15,0.3578,,0.3651
2024-02-16,0.3613,,0.3686
2024-02-19,0.3576,,0.36489999999999995
2024-02-20,0.3588,,0.3661
2024-02-21,0.3569,,0.36419999999999997
2024-02-22,0.3582,,0.3655
2024-02-23,0.3569,,0.36419999999999997
2024-02-26,0.3564,,0.36369999999999997
2024-02-27,0.3447,0.008056,0.360056
2024-02-28,0.344,,0.35935599999999995
