Date,NAV,Dividend,TotalReturn
2023-05-02,0.3085,,0.3085
2023-05-03,0.3074,,0.3074
2023-05-05,0.3071,,0.3071
2023-05-08,0.3074,,0.3074
2023-05-09,0.3061,,0.3061
2023-05-10,0.3051,,0.3051
2023-05-11,0.3043,,0.3043
2023-05-12,0.3036,,0.3036
2023-05-15,0.3038,,0.3038
2023-05-16,0.305,,0.305
2023-05-17,0.3054,,0.3054
2023-05-18,0.3075,,0.3075
2023-05-19,0.3086,,0.3086
2023-05-22,0.3084,,0.3084
2023-05-23,0.3074,,0.3074
2023-05-24,0.3064,,0.3064
2023-05-25,0.3056,,0.3056
2023-05-26,0.3095,,0.3095
2023-05-29,0.3108,,0.3108
2023-05-30,0.3092,,0.3092
2023-05-31,0.3096,,0.3096
2023-06-01,0.3088,,0.3088
2023-06-02,0.3106,,0.3106
2023-06-06,0.3102,,0.3102
2023-06-07,0.3093,,0.3093
2023-06-08,0.3081,,0.3081
2023-06-09,0.3098,,0.3098
2023-06-12,0.3109,,0.3109
2023-06-13,0.3131,,0.3131
2023-06-14,0.314,,0.314
2023-06-15,0.3147,,0.3147
2023-06-16,0.3152,,0.3152
2023-06-19,0.3142,,0.3142
2023-06-20,0.3132,,0.3132
2023-06-21,0.3131,,0.3131
2023-06-22,0.3125,,0.3125
2023-06-23,0.3115,,0.3115
2023-06-26,0.3094,,0.3094
2023-06-27,0.31,,0.31
2023-06-28,0.3098,,0.3098
2023-06-30,0.3081,,0.3081
2023-07-03,0.311,,0.311
2023-07-04,0.3109,,0.3109
2023-07-05,0.3102,,0.3102
2023-07-06,0.309,,0.309
2023-07-07,0.3075,,0.3075
2023-07-10,0.308,,0.308
2023-07-11,0.3102,,0.3102
2023-07-12,0.3111,,0.3111
2023-07-13,0.3113,,0.3113
2023-07-14,0.3139,,0.3139
2023-07-17,0.315,,0.315
2023-07-18,0.3147,,0.3147
2023-07-20,0.3148,,0.3148
2023-07-21,0.3144,,0.3144
2023-07-24,0.3163,,0.3163
2023-07-25,0.3181,,0.3181
2023-07-26,0.3181,,0.3181
2023-07-27,0.3182,,0.3182
2023-07-28,0.319,,0.319
2023-07-31,0.319,,0.319
2023-08-01,0.318,,0.318
2023-08-02,0.3161,,0.3161
2023-08-03,0.3166,,0.3166
2023-08-04,0.3176,,0.3176
2023-08-07,0.3173,,0.3173
2023-08-08,0.3171,,0.3171
2023-08-09,0.3183,,0.3183
2023-08-10,0.3177,,0.3177
2023-08-11,0.3176,,0.3176
2023-08-14,0.3176,,0.3176
2023-08-15,0.3197,,0.3197
2023-08-16,0.3191,,0.3191
2023-08-17,0.3191,,0.3191
2023-08-18,0.317,,0.317
2023-08-21,0.316,,0.316
2023-08-22,0.3178,,0.3178
2023-08-23,0.3178,,0.3178
2023-08-24,0.3195,,0.3195
2023-08-25,0.3172,,0.3172
2023-08-28,0.3182,,0.3182
2023-08-29,0.3192,,0.3192
2023-08-30,0.3194,,0.3194
2023-09-01,0.3211,,0.3211
2023-09-04,0.3219,,0.3219
2023-09-05,0.3198,,0.3198
2023-09-06,0.3206,,0.3206
2023-09-07,0.319,,0.319
2023-09-08,0.3173,,0.3173
2023-09-11,0.3169,,0.3169
2023-09-12,0.3164,,0.3164
