Date,NAV,Dividend,TotalReturn
2023-05-02,0.3738,,0.3738
2023-05-03,0.3695,,0.3695
2023-05-05,0.3717,,0.3717
2023-05-08,0.373,,0.373
2023-05-09,0.3687,,0.3687
2023-05-10,0.368,,0.368
2023-05-11,0.3666,,0.3666
2023-05-12,0.3653,,0.3653
2023-05-15,0.3707,,0.3707
2023-05-16,0.3731,,0.3731
2023-05-17,0.3724,,0.3724
2023-05-18,0.3761,,0.3761
2023-05-19,0.3743,,0.3743
2023-05-22,0.3769,,0.3769
2023-05-23,0.3748,,0.3748
2023-05-24,0.372,,0.372
2023-05-25,0.372,,0.372
2023-05-29,0.3741,,0.3741
2023-05-30,0.3745,,0.3745
2023-05-31,0.3689,,0.3689
2023-06-01,0.368,,0.368
2023-06-02,0.3758,,0.3758
2023-06-06,0.3755,,0.3755
2023-06-07,0.3781,,0.3781
2023-06-08,0.3774,,0.3774
2023-06-09,0.381,,0.381
2023-06-12,0.3836,,0.3836
2023-06-13,0.39,,0.39
2023-06-14,0.3907,,0.3907
2023-06-15,0.3975,,0.3975
2023-06-16,0.3998,,0.3998
2023-06-19,0.3987,,0.3987
2023-06-20,0.3951,,0.3951
2023-06-21,0.3884,,0.3884
2023-06-22,0.3884,,0.3884
2023-06-23,0.3867,,0.3867
2023-06-26,0.3824,,0.3824
2023-06-27,0.3849,,0.3849
2023-06-28,0.3843,,0.3843
2023-06-30,0.3837,,0.3837
2023-07-03,0.3908,,0.3908
2023-07-04,0.392,,0.392
2023-07-05,0.3877,,0.3877
2023-07-06,0.3817,,0.3817
2023-07-07,0.3797,,0.3797
2023-07-10,0.381,,0.381
2023-07-11,0.386,,0.386
2023-07-12,0.3885,,0.3885
2023-07-13,0.3927,,0.3927
2023-07-14,0.3893,,0.3893
2023-07-17,0.3893,,0.3893
2023-07-18,0.3836,,0.3836
2023-07-20,0.3802,,0.3802
2023-07-21,0.3815,,0.3815
2023-07-24,0.3794,,0.3794
2023-07-25,0.3895,,0.3895
2023-07-26,0.3855,,0.3855
2023-07-27,0.3853,,0.3853
2023-07-28,0.3935,,0.3935
2023-07-31,0.3892,,0.3892
2023-08-01,0.3884,,0.3884
2023-08-02,0.3814,,0.3814
2023-08-03,0.3833,,0.3833
2023-08-04,0.3844,,0.3844
2023-08-07,0.3851,,0.3851
2023-08-08,0.3814,,0.3814
2023-08-09,0.3805,,0.3805
2023-08-10,0.3777,,0.3777
2023-08-11,0.375,,0.375
2023-08-14,0.3725,,0.3725
2023-08-15,0.3729,,0.3729
2023-08-16,0.3692,,0.3692
2023-08-17,0.3728,,0.3728
2023-08-18,0.3662,,0.3662
2023-08-21,0.3629,,0.3629
2023-08-22,0.3679,,0.3679
2023-08-23,0.3685,,0.3685
2023-08-24,0.3759,,0.3759
2023-08-25,0.3687,,0.3687
2023-08-28,0.3716,,0.3716
2023-08-29,0.378,,0.378
2023-08-30,0.3785,,0.3785
2023-09-01,0.3762,,0.3762
2023-09-04,0.384,,0.384
2023-09-05,0.3809,,0.3809
2023-09-06,0.3807,,0.3807
2023-09-07,0.3759,,0.3759
2023-09-08,0.375,,0.375
2023-09-11,0.3742,,0.3742
2023-09-12,0.374,,0.374
2023-09-13,0.3732,,0.3732
2023-09-14,0.3752,,0.3752
2023-09-15,0.3775,,0.3775
2023-09-18,0.3743,,0.3743
2023-09-19,0.3738,,0.3738
2023-09-20,0.3686,,0.3686
2023-09-21,0.3627,,0.3627
2023-09-22,0.3691,,0.3691
2023-09-25,0.3659,,0.3659
2023-09-26,0.3619,,0.3619
2023-09-27,0.3656,,0.3656
2023-09-29,0.3662,,0.3662
2023-10-02,0.3662,,0.3662
2023-10-03,0.3648,,0.3648
2023-10-04,0.3617,,0.3617
2023-10-05,0.3641,,0.3641
2023-10-06,0.3669,,0.3669
2023-10-09,0.3687,,0.3687
2023-10-10,0.3703,,0.3703
2023-10-11,0.3739,,0.3739
2023-10-12,0.3786,,0.3786
2023-10-13,0.3737,,0.3737
2023-10-16,0.369,,0.369
2023-10-17,0.37,,0.37
2023-10-18,0.3648,,0.3648
2023-10-19,0.3624,,0.3624
2023-10-20,0.3606,,0.3606
2023-10-23,0.3606,,0.3606
2023-10-24,0.3591,,0.3591
2023-10-25,0.3616,,0.3616
2023-10-26,0.358,,0.358
2023-10-27,0.3639,,0.3639
2023-10-30,0.3655,,0.3655
2023-10-31,0.3592,,0.3592
2023-11-01,0.3592,,0.3592
2023-11-02,0.3623,,0.3623
2023-11-03,0.368,,0.368
2023-11-06,0.3679,,0.3679
2023-11-07,0.3682,,0.3682
2023-11-08,0.3683,,0.3683
2023-11-09,0.3683,,0.3683
2023-11-10,0.3652,,0.3652
2023-11-14,0.3707,,0.3707
2023-11-15,0.377,,0.377
2023-11-16,0.375,,0.375
2023-11-17,0.3726,,0.3726
2023-11-20,0.3771,,0.3771
2023-11-21,0.3772,,0.3772
2023-11-22,0.3768,,0.3768
2023-11-23,0.3788,,0.3788
2023-11-24,0.375,,0.375
2023-11-27,0.373,,0.373
2023-11-28,0.3746,,0.3746
2023-11-29,0.3699,,0.3699
2023-11-30,0.3725,,0.3725
2023-12-01,0.3697,,0.3697
2023-12-04,0.3635,,0.3635
2023-12-05,0.3579,,0.3579
2023-12-06,0.3598,,0.3598
2023-12-07,0.3574,,0.3574
2023-12-08,0.3584,,0.3584
2023-12-11,0.3598,,0.3598
2023-12-12,0.3624,,0.3624
2023-12-13,0.3615,,0.3615
2023-12-14,0.3632,,0.3632
2023-12-15,0.3684,,0.3684
2023-12-18,0.3664,,0.3664
2023-12-19,0.3636,,0.3636
2023-12-20,0.3622,,0.3622
2023-12-21,0.3624,,0.3624
2023-12-22,0.3554,,0.3554
2023-12-26,0.3554,,0.3554
2023-12-27,0.3612,,0.3612
2023-12-28,0.3667,,0.3667
2023-12-29,0.3667,,0.3667
2024-01-02,0.3616,,0.3616
2024-01-03,0.3589,,0.3589
2024-01-04,0.3576,,0.3576
2024-01-05,0.3563,,0.3563
2024-01-08,0.3521,,0.3521
2024-01-09,0.3521,,0.3521
2024-01-10,0.3507,,0.3507
2024-01-11,0.3556,,0.3556
2024-01-12,0.3547,,0.3547
2024-01-15,0.3556,,0.3556
2024-01-16,0.3518,,0.3518
2024-01-17,0.3434,,0.3434
2024-01-18,0.3447,,0.3447
2024-01-19,0.3469,,0.3469
2024-01-22,0.3419,,0.3419
2024-01-23,0.3478,,0.3478
2024-01-24,0.3542,,0.3542
2024-01-26,0.3545,,0.3545
2024-01-29,0.3557,,0.3557
2024-01-30,0.3498,,0.3498
2024-01-31,0.3447,,0.3447
2024-02-02,0.3459,,0.3459
2024-02-05,0.3465,,0.3465
2024-02-06,0.3577,,0.3577
2024-02-07,0.3583,,0.3583
2024-02-08,0.3575,,0.3575
2024-02-09,0.3553,,0.3553
2024-02-13,0.3553,,0.3553
2024-02-14,0.3589,,0.3589
2024-02-15,0.3642,,0.3642
2024-02-16,0.3678,,0.3678
2024-02-19,0.3649,,0.3649
2024-02-20,0.3678,,0.3678
2024-02-21,0.369,,0.369
