Date,NAV,Dividend,TotalReturn,TotalReturnMethod
2023-08-21,0.3534,0.0,0.3534,reinvested_dividend_index_v1
2023-08-22,0.3562,0.0,0.3562,reinvested_dividend_index_v1
2023-08-23,0.3567,0.0,0.3567,reinvested_dividend_index_v1
2023-08-24,0.3605,0.0,0.3605,reinvested_dividend_index_v1
2023-08-25,0.3546,0.0,0.3546,reinvested_dividend_index_v1
2023-08-28,0.3576,0.0,0.3576,reinvested_dividend_index_v1
2023-08-29,0.361,0.0,0.361,reinvested_dividend_index_v1
2023-08-30,0.3617,0.0,0.3617,reinvested_dividend_index_v1
2023-09-01,0.3628,0.0,0.3628,reinvested_dividend_index_v1
2023-09-04,0.3662,0.0,0.3662,reinvested_dividend_index_v1
2023-09-05,0.3632,0.0,0.3632,reinvested_dividend_index_v1
2023-09-06,0.3622,0.0,0.3622,reinvested_dividend_index_v1
2023-09-07,0.3593,0.0,0.3593,reinvested_dividend_index_v1
2023-09-08,0.3587,0.0,0.3587,reinvested_dividend_index_v1
2023-09-11,0.36,0.0,0.36,reinvested_dividend_index_v1
2023-09-12,0.3598,0.0,0.3598,reinvested_dividend_index_v1
2023-09-13,0.3589,0.0,0.3589,reinvested_dividend_index_v1
2023-09-14,0.3606,0.0,0.3606,reinvested_dividend_index_v1
2023-09-15,0.3626,0.0,0.3626,reinvested_dividend_index_v1
2023-09-18,0.3595,0.0,0.3595,reinvested_dividend_index_v1
2023-09-19,0.3586,0.0,0.3586,reinvested_dividend_index_v1
2023-09-20,0.355,0.0,0.355,reinvested_dividend_index_v1
2023-09-21,0.35,0.0,0.35,reinvested_dividend_index_v1
2023-09-22,0.3535,0.0,0.3535,reinvested_dividend_index_v1
2023-09-25,0.3518,0.0,0.3518,reinvested_dividend_index_v1
2023-09-26,0.3493,0.0,0.3493,reinvested_dividend_index_v1
2023-09-27,0.3516,0.0,0.3516,reinvested_dividend_index_v1
2023-09-29,0.3536,0.0,0.3536,reinvested_dividend_index_v1
2023-10-02,0.3546,0.0,0.3546,reinvested_dividend_index_v1
2023-10-03,0.3518,0.0,0.3518,reinvested_dividend_index_v1
2023-10-04,0.3491,0.0,0.3491,reinvested_dividend_index_v1
2023-10-05,0.3504,0.0,0.3504,reinvested_dividend_index_v1
2023-10-06,0.3513,0.0,0.3513,reinvested_dividend_index_v1
2023-10-09,0.3528,0.0,0.3528,reinvested_dividend_index_v1
2023-10-10,0.3534,0.0,0.3534,reinvested_dividend_index_v1
2023-10-11,0.3561,0.0,0.3561,reinvested_dividend_index_v1
2023-10-12,0.3576,0.0,0.3576,reinvested_dividend_index_v1
2023-10-13,0.3539,0.0,0.3539,reinvested_dividend_index_v1
2023-10-16,0.351,0.0,0.351,reinvested_dividend_index_v1
2023-10-17,0.3531,0.0,0.3531,reinvested_dividend_index_v1
2023-10-18,0.3511,0.0,0.3511,reinvested_dividend_index_v1
2023-10-19,0.3477,0.0,0.3477,reinvested_dividend_index_v1
2023-10-20,0.3451,0.0,0.3451,reinvested_dividend_index_v1
