Date,NAV,Dividend,TotalReturn
2023-04-27,0.2982,,0.2982
2023-04-28,0.2974,,0.2974
2023-05-02,0.2975,,0.2975
2023-05-03,0.2958,,0.2958
2023-05-05,0.2942,,0.2942
2023-05-08,0.2955,,0.2955
2023-05-09,0.2945,,0.2945
2023-05-10,0.2946,,0.2946
2023-05-11,0.2946,,0.2946
2023-05-12,0.2943,,0.2943
2023-05-15,0.2934,,0.2934
2023-05-16,0.2937,,0.2937
2023-05-17,0.2947,,0.2947
2023-05-18,0.2957,,0.2957
2023-05-19,0.2938,,0.2938
2023-05-22,0.2936,,0.2936
2023-05-23,0.2921,,0.2921
2023-05-24,0.2904,,0.2904
2023-05-25,0.2894,,0.2894
2023-05-26,0.2891,,0.2891
2023-05-29,0.2902,,0.2902
2023-05-30,0.2909,,0.2909
2023-05-31,0.2902,,0.2902
2023-06-01,0.2892,,0.2892
2023-06-02,0.2894,,0.2894
2023-06-06,0.2868,,0.2868
2023-06-07,0.2861,,0.2861
2023-06-08,0.2839,,0.2839
2023-06-09,0.2862,,0.2862
2023-06-12,0.2859,,0.2859
2023-06-13,0.2868,,0.2868
2023-06-14,0.2893,,0.2893
2023-06-15,0.2878,,0.2878
2023-06-16,0.2883,,0.2883
2023-06-19,0.2876,,0.2876
2023-06-20,0.2863,,0.2863
2023-06-21,0.2862,,0.2862
2023-06-22,0.2867,,0.2867
2023-06-23,0.2866,,0.2866
2023-06-26,0.2856,,0.2856
2023-06-27,0.2864,,0.2864
2023-06-28,0.2861,,0.2861
2023-06-30,0.2859,,0.2859
2023-07-03,0.2882,,0.2882
2023-07-04,0.2886,,0.2886
2023-07-05,0.2896,,0.2896
2023-07-06,0.2889,,0.2889
2023-07-07,0.2881,,0.2881
2023-07-10,0.2892,,0.2892
2023-07-11,0.29,,0.29
2023-07-12,0.2913,,0.2913
2023-07-13,0.2922,,0.2922
2023-07-14,0.2959,,0.2959
2023-07-17,0.2967,,0.2967
2023-07-18,0.2969,,0.2969
2023-07-20,0.2972,,0.2972
2023-07-21,0.2964,,0.2964
2023-07-24,0.2973,,0.2973
2023-07-25,0.2997,,0.2997
2023-07-26,0.3002,,0.3002
2023-07-27,0.3001,,0.3001
2023-07-28,0.2986,,0.2986
2023-07-31,0.2994,,0.2994
2023-08-01,0.2989,,0.2989
2023-08-02,0.2985,,0.2985
2023-08-03,0.2982,,0.2982
2023-08-04,0.2986,,0.2986
2023-08-07,0.2982,,0.2982
2023-08-08,0.2991,,0.2991
2023-08-09,0.2989,,0.2989
2023-08-10,0.2991,,0.2991
2023-08-11,0.3005,,0.3005
2023-08-14,0.302,,0.302
2023-08-15,0.3044,,0.3044
2023-08-16,0.3052,,0.3052
2023-08-17,0.3048,,0.3048
2023-08-18,0.3045,,0.3045
2023-08-21,0.3045,,0.3045
2023-08-22,0.3047,,0.3047
2023-08-23,0.3046,,0.3046
2023-08-24,0.3059,,0.3059
2023-08-25,0.3051,,0.3051
2023-08-28,0.3091,,0.3091
2023-08-29,0.3109,,0.3109
2023-08-30,0.3113,,0.3113
2023-09-01,0.3126,,0.3126
2023-09-04,0.3118,,0.3118
2023-09-05,0.3092,,0.3092
2023-09-06,0.3115,,0.3115
2023-09-07,0.3101,,0.3101
2023-09-08,0.3089,,0.3089
2023-09-11,0.3084,,0.3084
2023-09-12,0.3078,,0.3078
2023-09-13,0.3094,,0.3094
2023-09-14,0.3101,,0.3101
2023-09-15,0.3118,,0.3118
2023-09-18,0.3124,,0.3124
2023-09-19,0.3131,,0.3131
2023-09-20,0.3142,,0.3142
2023-09-21,0.314,,0.314
2023-09-22,0.3161,,0.3161
2023-09-25,0.3149,,0.3149
2023-09-26,0.3143,,0.3143
2023-09-27,0.3136,,0.3136
2023-09-29,0.3141,,0.3141
2023-10-02,0.3122,,0.3122
2023-10-03,0.3112,,0.3112
2023-10-04,0.3089,,0.3089
2023-10-05,0.308,,0.308
2023-10-06,0.3091,,0.3091
2023-10-09,0.3096,,0.3096
2023-10-10,0.3114,,0.3114
2023-10-11,0.3124,,0.3124
2023-10-12,0.3134,,0.3134
2023-10-13,0.3135,,0.3135
2023-10-16,0.3121,,0.3121
2023-10-17,0.3126,,0.3126
2023-10-18,0.3093,,0.3093
2023-10-19,0.3089,,0.3089
2023-10-20,0.3086,,0.3086
2023-10-23,0.3065,,0.3065
2023-10-24,0.3089,,0.3089
2023-10-25,0.3093,,0.3093
2023-10-26,0.3095,,0.3095
