Date,NAV
2023-05-02,0.5778
2023-05-03,0.5758
2023-05-05,0.5792
2023-05-08,0.5792
2023-05-09,0.5792
2023-05-10,0.5806
2023-05-11,0.5794
2023-05-12,0.5798
2023-05-15,0.5812
2023-05-16,0.5775
2023-05-17,0.5815
2023-05-18,0.5815
2023-05-19,0.5851
2023-05-22,0.5851
2023-05-23,0.5777
2023-05-24,0.5727
2023-05-25,0.5746
2023-05-26,0.5815
2023-05-29,0.5815
2023-05-30,0.5784
2023-05-31,0.5775
2023-06-01,0.5814
2023-06-02,0.587
2023-06-06,0.5862
2023-06-07,0.5813
2023-06-08,0.5854
2023-06-09,0.5862
2023-06-12,0.5919
2023-06-13,0.5943
2023-06-14,0.594
2023-06-15,0.6027
2023-06-16,0.6004
2023-06-19,0.6004
2023-06-20,0.5969
2023-06-21,0.5943
2023-06-22,0.5945
2023-06-23,0.5945
2023-06-26,0.5884
2023-06-27,0.5925
2023-06-28,0.593
2023-06-30,0.6009
2023-07-03,0.5985
2023-07-04,0.5985
2023-07-05,0.5966
2023-07-06,0.5918
2023-07-07,0.5893
2023-07-10,0.5908
2023-07-11,0.593
2023-07-12,0.5977
2023-07-13,0.6027
2023-07-14,0.6043
2023-07-17,0.6061
2023-07-18,0.6088
2023-07-20,0.6077
2023-07-21,0.6088
2023-07-24,0.6087
2023-07-25,0.6097
2023-07-26,0.6088
2023-07-27,0.6054
2023-07-28,0.6083
2023-07-31,0.6089
2023-08-01,0.6075
2023-08-02,0.5989
2023-08-03,0.5972
2023-08-04,0.596
2023-08-07,0.6011
2023-08-08,0.6
2023-08-09,0.6002
2023-08-10,0.6014
2023-08-11,0.6002
2023-08-14,0.6018
2023-08-15,0.6018
2023-08-16,0.5941
2023-08-17,0.5901
2023-08-18,0.5899
2023-08-21,0.593
2023-08-22,0.5914
2023-08-23,0.598
2023-08-24,0.5911
2023-08-25,0.5946
2023-08-28,0.5982
2023-08-29,0.605
2023-08-30,0.6065
2023-09-01,0.6052
2023-09-04,0.6052
2023-09-05,0.6035
2023-09-06,0.6018
2023-09-07,0.6015
2023-09-08,0.6029
2023-09-11,0.607
2023-09-12,0.6012
2023-09-13,0.6019
2023-09-14,0.6078
2023-09-15,0.603
2023-09-18,0.6027
2023-09-19,0.6022
2023-09-20,0.6008
2023-09-21,0.5922
2023-09-22,0.5931
2023-09-25,0.5924
2023-09-26,0.5855
2023-09-27,0.5854
2023-09-29,0.5862
2023-10-02,0.5851
2023-10-03,0.5784
2023-10-04,0.5821
2023-10-05,0.5845
2023-10-06,0.5911
2023-10-09,0.593
2023-10-10,0.5965
2023-10-11,0.5999
2023-10-12,0.5988
2023-10-13,0.5963
2023-10-16,0.6003
2023-10-17,0.6012
2023-10-18,0.5961
2023-10-19,0.5907
2023-10-20,0.5837
2023-10-23,0.5834
2023-10-24,0.5859
2023-10-25,0.5809
2023-10-26,0.5756
2023-10-27,0.5712
2023-10-30,0.5783
2023-10-31,0.581
2023-11-01,0.581
2023-11-02,0.5942
2023-11-03,0.5955
2023-11-06,0.5967
2023-11-07,0.5989
2023-11-08,0.6
2023-11-09,0.5975
2023-11-10,0.6047
2023-11-14,0.6112
2023-11-15,0.6094
2023-11-16,0.6109
2023-11-17,0.6138
2023-11-20,0.6172
2023-11-21,0.6161
2023-11-22,0.6176
2023-11-23,0.6176
2023-11-24,0.6196
2023-11-27,0.6176
2023-11-28,0.6174
2023-11-29,0.6161
2023-11-30,0.618
2023-12-01,0.6212
2023-12-04,0.6191
2023-12-05,0.6185
2023-12-06,0.6173
2023-12-07,0.6204
2023-12-08,0.6224
2023-12-11,0.6262
2023-12-12,0.6283
2023-12-13,0.6355
2023-12-14,0.6309
2023-12-15,0.6269
2023-12-18,0.6306
2023-12-19,0.6331
2023-12-20,0.6267
2023-12-21,0.6319
2023-12-22,0.6332
2023-12-26,0.6332
2023-12-27,0.6357
2023-12-28,0.635
2023-12-29,0.6357
2024-01-02,0.632
2024-01-03,0.6303
2024-01-04,0.6301
2024-01-05,0.6303
2024-01-08,0.636
2024-01-09,0.635
2024-01-10,0.6379
2024-01-11,0.6386
2024-01-12,0.6405
2024-01-15,0.6405
2024-01-16,0.6378
2024-01-17,0.6351
2024-01-18,0.6404
2024-01-19,0.645
2024-01-22,0.6453
2024-01-23,0.6453
2024-01-24,0.6474
2024-01-26,0.6497
2024-01-29,0.653
2024-01-30,0.6544
2024-01-31,0.6467
2024-02-02,0.653
2024-02-05,0.6505
2024-02-06,0.6521
2024-02-07,0.6548
2024-02-08,0.6534
2024-02-09,0.6564
2024-02-13,0.6479
2024-02-14,0.6534
2024-02-15,0.6565
2024-02-16,0.6555
2024-02-19,0.6555
2024-02-20,0.6545
2024-02-21,0.6555
2024-02-22,0.6639
2024-02-23,0.6647
2024-02-26,0.6623
2024-02-27,0.6626
2024-02-28,0.6607
2024-02-29,0.661
2024-03-01,0.665
2024-03-04,0.6627
2024-03-05,0.6574
2024-03-06,0.6603
2024-03-07,0.6674
2024-03-08,0.6644
2024-03-11,0.6633
2024-03-12,0.6695
2024-03-13,0.6687
2024-03-14,0.6689
2024-03-15,0.6644
2024-03-18,0.6659
2024-03-19,0.6688
2024-03-20,0.673
2024-03-21,0.6744
2024-03-22,0.6738
2024-03-25,0.6711
2024-03-26,0.6703
2024-03-27,0.674
2024-03-29,0.674
2024-04-01,0.674
2024-04-02,0.6681
2024-04-03,0.6678
2024-04-04,0.6608
2024-04-05,0.6662
2024-04-08,0.6668
2024-04-09,0.6671
2024-04-12,0.6559
2024-04-15,0.6506
2024-04-16,0.649
2024-04-17,0.6476
2024-04-18,0.6469
2024-04-19,0.6454
2024-04-22,0.6508
2024-04-23,0.657
2024-04-24,0.6566
2024-04-25,0.6531
2024-04-26,0.6576
2024-04-29,0.6566
2024-04-30,0.6492
2024-05-02,0.6515
2024-05-03,0.6572
2024-05-06,0.6627
2024-05-07,0.6654
2024-05-08,0.6664
2024-05-09,0.6664
2024-05-10,0.6722
2024-05-13,0.6727
2024-05-14,0.675
2024-05-15,0.6813
2024-05-16,0.6797
2024-05-17,0.6812
2024-05-20,0.6812
2024-05-21,0.6819
2024-05-23,0.6766
2024-05-24,0.6782
2024-05-27,0.6782
2024-05-28,0.6756
2024-05-29,0.6696
2024-05-30,0.6677
2024-05-31,0.6746
2024-06-04,0.6759
2024-06-05,0.6814
2024-06-06,0.6827
2024-06-07,0.6812
2024-06-10,0.6819
2024-06-11,0.6807
2024-06-12,0.687
2024-06-13,0.6874
2024-06-14,0.6873
2024-06-18,0.6917
2024-06-19,0.6917
2024-06-20,0.6921
2024-06-21,0.691
2024-06-24,0.6918
2024-06-25,0.6932
2024-06-26,0.6914
2024-06-27,0.6931
2024-06-28,0.6907
2024-07-01,0.6924
2024-07-02,0.6953
2024-07-03,0.6978
2024-07-04,0.6978
2024-07-05,0.7018
2024-07-09,0.6988
2024-07-10,0.7042
2024-07-11,0.7009
2024-07-12,0.7052
2024-07-15,0.7047
2024-07-16,0.7072
2024-07-17,0.7023
2024-07-18,0.6965
2024-07-19,0.6938
2024-07-22,0.6998
2024-07-23,0.6999
2024-07-24,0.6899
2024-07-25,0.6874
2024-07-26,0.695
2024-07-29,0.6951
2024-07-30,0.6935
2024-07-31,0.7021
2024-08-01,0.6933
2024-08-02,0.6846
2024-08-05,0.6687
2024-08-06,0.6705
2024-08-07,0.6689
2024-08-08,0.6785
2024-08-09,0.6821
2024-08-12,0.6813
2024-08-13,0.6905
2024-08-14,0.6932
2024-08-15,0.6932
2024-08-16,0.7027
2024-08-19,0.7066
2024-08-20,0.7061
2024-08-21,0.7088
2024-08-22,0.705
2024-08-23,0.7096
2024-08-26,0.7074
2024-08-27,0.7091
2024-08-28,0.707
2024-08-29,0.7091
2024-08-30,0.7128
2024-09-02,0.7128
2024-09-03,0.7049
2024-09-04,0.7038
2024-09-05,0.7015
2024-09-06,0.6907
2024-09-09,0.6978
2024-09-10,0.7005
2024-09-11,0.7057
2024-09-12,0.711
2024-09-13,0.713
2024-09-17,0.7121
2024-09-18,0.7088
2024-09-19,0.7178
2024-09-20,0.7153
2024-09-23,0.7178
2024-09-24,0.7163
2024-09-25,0.7148
2024-09-26,0.7175
2024-09-27,0.7139
2024-09-30,0.7146
2024-10-01,0.7111
2024-10-02,0.7108
2024-10-03,0.7082
2024-10-04,0.7111
2024-10-07,0.7067
2024-10-08,0.7117
2024-10-09,0.7169
2024-10-10,0.7144
2024-10-11,0.7176
2024-10-14,0.7222
2024-10-15,0.7158
2024-10-16,0.7186
2024-10-17,0.7206
2024-10-18,0.7214
2024-10-21,0.7177
2024-10-22,0.7167
2024-10-23,0.7115
2024-10-24,0.7126
2024-10-25,0.7121
2024-10-28,0.7143
2024-10-29,0.716
2024-10-30,0.7136
2024-11-01,0.7136
2024-11-04,0.7071
2024-11-05,0.7131
2024-11-06,0.7203
2024-11-07,0.7273
2024-11-08,0.7266
2024-11-11,0.7267
2024-11-12,0.7214
2024-11-13,0.7203
2024-11-14,0.7169
2024-11-15,0.7077
2024-11-18,0.7111
2024-11-19,0.7107
2024-11-20,0.7114
2024-11-21,0.7158
2024-11-22,0.7184
2024-11-25,0.7197
2024-11-26,0.7222
2024-11-27,0.7215
2024-11-28,0.7215
2024-11-29,0.7255
2024-12-02,0.7287
2024-12-03,0.7286
2024-12-04,0.7329
2024-12-05,0.7323
2024-12-06,0.7345
2024-12-09,0.7296
2024-12-10,0.7259
2024-12-11,0.7301
2024-12-12,0.7247
2024-12-13,0.7284
2024-12-16,0.7302
2024-12-17,0.7273
2024-12-18,0.7111
2024-12-19,0.7101
2024-12-20,0.7119
2024-12-23,0.7166
2024-12-24,0.7215
2024-12-26,0.7215
2024-12-27,0.7176
2024-12-30,0.7117
2024-12-31,0.7113
2025-01-02,0.7108
2025-01-03,0.7141
2025-01-06,0.7168
2025-01-07,0.7122
2025-01-08,0.7151
2025-01-09,0.7151
2025-01-10,0.7059
2025-01-13,0.7051
2025-01-14,0.7065
2025-01-15,0.7146
2025-01-16,0.7155
2025-01-17,0.7193
2025-01-20,0.7193
2025-01-21,0.7255
2025-01-22,0.7288
2025-01-23,0.732
2025-01-24,0.7311
2025-01-27,0.7245
2025-01-28,0.7284
2025-01-31,0.7306
2025-02-03,0.7273
2025-02-04,0.7308
2025-02-05,0.7355
2025-02-06,0.737
2025-02-07,0.7321
2025-02-10,0.7362
2025-02-12,0.7376
2025-02-13,0.7428
2025-02-14,0.7397
2025-02-17,0.7397
2025-02-18,0.7424
2025-02-19,0.742
2025-02-20,0.7406
2025-02-21,0.7326
2025-02-24,0.7308
2025-02-25,0.732
2025-02-26,0.7321
2025-02-27,0.723
2025-02-28,0.731
2025-03-03,0.725
2025-03-04,0.7214
2025-03-05,0.7282
2025-03-06,0.7173
2025-03-07,0.7236
2025-03-10,0.7078
2025-03-11,0.7021
2025-03-12,0.7042
2025-03-13,0.6972
2025-03-14,0.7073
2025-03-17,0.7121
2025-03-19,0.7127
2025-03-20,0.7105
2025-03-21,0.7097
2025-03-24,0.7146
2025-03-25,0.7165
2025-03-26,0.711
2025-03-27,0.7122
2025-03-28,0.7034
2025-04-02,0.709
2025-04-03,0.6913
2025-04-04,0.6545
2025-04-07,0.6428
2025-04-08,0.6374
2025-04-09,0.6817
2025-04-10,0.6663
2025-04-11,0.6798
2025-04-14,0.684
2025-04-15,0.6862
2025-04-16,0.6775
2025-04-17,0.6779
2025-04-18,0.6779
2025-04-21,0.6779
2025-04-22,0.6806
2025-04-23,0.6867
2025-04-24,0.694
2025-04-25,0.6975
2025-04-28,0.6985
2025-04-29,0.7019
2025-04-30,0.7063
2025-05-02,0.7159
2025-05-05,0.714
2025-05-06,0.7102
2025-05-07,0.7115
2025-05-08,0.71
2025-05-09,0.71
2025-05-13,0.7223
2025-05-14,0.7203
2025-05-15,0.7255
2025-05-16,0.7301
2025-05-19,0.7344
2025-05-20,0.7349
2025-05-21,0.728
2025-05-22,0.7285
2025-05-23,0.7259
2025-05-26,0.7259
2025-05-27,0.7343
2025-05-28,0.7301
2025-05-29,0.7301
2025-05-30,0.7328
2025-06-03,0.7361
2025-06-04,0.738
2025-06-05,0.7372
2025-06-06,0.7408
2025-06-09,0.7408
2025-06-10,0.7404
2025-06-11,0.7394
2025-06-12,0.7439
2025-06-13,0.7349
2025-06-16,0.7387
2025-06-17,0.7319
2025-06-18,0.7298
2025-06-19,0.7298
2025-06-20,0.7263
2025-06-23,0.7263
2025-06-24,0.7378
2025-06-25,0.7352
2025-06-26,0.7404
2025-06-30,0.7494
2025-07-01,0.749
2025-07-02,0.7488
2025-07-03,0.7541
2025-07-04,0.7541
2025-07-07,0.7501
2025-07-08,0.7495
2025-07-09,0.7536
2025-07-10,0.7514
2025-07-11,0.7476
2025-07-14,0.7484
2025-07-15,0.7439
2025-07-16,0.7467
2025-07-17,0.7513
2025-07-18,0.7496
2025-07-21,0.7501
2025-07-22,0.7519
2025-07-23,0.7575
2025-07-24,0.7579
2025-07-25,0.7592
2025-07-28,0.7547
2025-07-29,0.754
2025-07-30,0.753
2025-07-31,0.7489
2025-08-01,0.7421
2025-08-04,0.7513
2025-08-05,0.7487
2025-08-06,0.7516
2025-08-07,0.7521
2025-08-08,0.7547
2025-08-11,0.7518
2025-08-12,0.756
2025-08-13,0.7582
2025-08-14,0.7582
2025-08-15,0.7582
2025-08-18,0.7596
2025-08-19,0.7573
2025-08-20,0.7591
2025-08-21,0.7567
2025-08-22,0.7631
2025-08-25,0.7569
2025-08-26,0.7568
2025-08-27,0.758
2025-08-28,0.7591
2025-08-29,0.7549
2025-09-02,0.7491
2025-09-03,0.7525
2025-09-04,0.758
2025-09-08,0.7621
2025-09-09,0.7627
2025-09-10,0.7671
2025-09-11,0.7725
2025-09-12,0.7699
2025-09-17,0.7687
2025-09-18,0.7704
2025-09-19,0.7702
2025-09-22,0.7732
2025-09-23,0.7695
2025-09-24,0.7678
2025-09-25,0.7616
2025-09-26,0.7662
2025-09-29,0.7674
2025-09-30,0.7731
2025-10-01,0.7758
2025-10-02,0.7762
2025-10-03,0.7781
2025-10-06,0.7798
2025-10-07,0.7754
2025-10-08,0.7792
2025-10-09,0.7754
2025-10-10,0.7616
