Date,NAV
2023-10-03,0.5
2023-10-04,0.5
2023-10-05,0.5
2023-10-06,0.5
2023-10-09,0.5
2023-10-10,0.5
2023-10-11,0.5
2023-10-12,0.5
2023-10-13,0.5
2023-10-16,0.5
2023-10-17,0.5
2023-10-18,0.5
2023-10-19,0.5
2023-10-20,0.5
2023-10-23,0.5
2023-10-24,0.5003
2023-10-25,0.4963
2023-10-26,0.4909
2023-10-27,0.4891
2023-10-30,0.4936
2023-10-31,0.4943
2023-11-01,0.4943
2023-11-02,0.5083
2023-11-03,0.5118
2023-11-06,0.5124
2023-11-07,0.5139
2023-11-08,0.5148
2023-11-09,0.5117
2023-11-10,0.5167
2023-11-14,0.5282
2023-11-15,0.5282
2023-11-16,0.528
2023-11-17,0.5305
2023-11-20,0.5355
2023-11-21,0.5324
2023-11-22,0.5339
2023-11-23,0.5339
2023-11-24,0.5353
2023-11-27,0.5334
2023-11-28,0.5333
2023-11-29,0.5333
2023-11-30,0.5337
2023-12-01,0.5367
2023-12-04,0.5335
2023-12-05,0.5318
2023-12-06,0.531
2023-12-07,0.5335
2023-12-08,0.5361
2023-12-11,0.5387
2023-12-12,0.5412
2023-12-13,0.5485
2023-12-14,0.552
2023-12-15,0.5518
2023-12-18,0.5541
2023-12-19,0.5577
2023-12-20,0.5499
2023-12-21,0.556
2023-12-22,0.5564
2023-12-26,0.5564
2023-12-27,0.5608
2023-12-28,0.5604
2023-12-29,0.5591
2024-01-02,0.5529
2024-01-03,0.5475
2024-01-04,0.5481
2024-01-05,0.5475
2024-01-08,0.5537
2024-01-09,0.5515
2024-01-10,0.5539
2024-01-11,0.5536
2024-01-12,0.5546
2024-01-15,0.5546
2024-01-16,0.5501
2024-01-17,0.5465
2024-01-18,0.5513
2024-01-19,0.5564
2024-01-22,0.5565
2024-01-23,0.557
2024-01-24,0.5599
2024-01-26,0.5627
2024-01-29,0.5674
2024-01-30,0.5665
2024-01-31,0.5601
2024-02-02,0.5696
2024-02-05,0.5688
2024-02-06,0.5711
2024-02-07,0.5735
2024-02-08,0.5743
2024-02-09,0.5779
2024-02-13,0.5693
2024-02-14,0.5754
2024-02-15,0.581
2024-02-16,0.5796
2024-02-19,0.5796
2024-02-20,0.5768
2024-02-21,0.577
2024-02-22,0.5885
2024-02-23,0.5883
2024-02-26,0.5868
2024-02-27,0.5874
2024-02-28,0.5859
2024-02-29,0.5856
2024-03-01,0.5929
2024-03-04,0.5924
2024-03-05,0.5855
2024-03-06,0.5889
2024-03-07,0.5968
2024-03-08,0.5927
2024-03-11,0.5907
2024-03-12,0.597
2024-03-13,0.597
2024-03-14,0.5949
2024-03-15,0.5896
2024-03-18,0.5923
2024-03-19,0.5931
2024-03-20,0.5991
2024-03-21,0.6009
2024-03-22,0.5995
2024-03-25,0.5975
2024-03-26,0.5967
2024-03-27,0.5988
2024-03-29,0.5988
2024-04-01,0.5988
2024-04-02,0.594
2024-04-03,0.5965
2024-04-04,0.5907
2024-04-05,0.595
2024-04-08,0.596
2024-04-09,0.5964
2024-04-12,0.5849
2024-04-15,0.5785
2024-04-16,0.5762
2024-04-17,0.5738
2024-04-18,0.5723
2024-04-19,0.5665
2024-04-22,0.5711
2024-04-23,0.58
2024-04-24,0.5797
2024-04-25,0.5772
2024-04-26,0.5828
2024-04-29,0.5842
2024-04-30,0.5772
2024-05-02,0.5802
2024-05-03,0.5851
2024-05-06,0.5917
2024-05-07,0.5929
2024-05-08,0.5925
2024-05-09,0.5925
2024-05-10,0.5969
2024-05-13,0.5975
2024-05-14,0.6014
2024-05-15,0.6074
2024-05-16,0.6053
2024-05-17,0.6058
2024-05-20,0.6058
2024-05-21,0.6069
2024-05-23,0.6019
2024-05-24,0.6052
2024-05-27,0.6052
2024-05-28,0.6029
2024-05-29,0.5967
2024-05-30,0.5948
2024-05-31,0.5979
2024-06-04,0.5988
2024-06-05,0.6077
2024-06-06,0.6086
2024-06-07,0.6057
2024-06-10,0.6069
2024-06-11,0.6047
2024-06-12,0.6111
2024-06-13,0.6107
2024-06-14,0.6075
2024-06-18,0.6126
2024-06-19,0.6126
2024-06-20,0.6125
2024-06-21,0.6099
2024-06-24,0.6098
2024-06-25,0.6137
2024-06-26,0.6123
2024-06-27,0.6129
2024-06-28,0.6096
2024-07-01,0.6118
2024-07-02,0.6146
2024-07-03,0.6195
2024-07-04,0.6195
2024-07-05,0.6246
2024-07-09,0.6221
2024-07-10,0.6286
2024-07-11,0.6254
2024-07-12,0.6286
2024-07-15,0.6276
2024-07-16,0.6291
2024-07-17,0.6175
2024-07-18,0.613
2024-07-19,0.61
2024-07-22,0.6156
2024-07-23,0.6158
2024-07-24,0.6016
2024-07-25,0.5969
2024-07-26,0.6028
2024-07-29,0.6028
2024-07-30,0.6011
2024-07-31,0.6098
2024-08-01,0.601
2024-08-02,0.5897
2024-08-05,0.5764
2024-08-06,0.5815
2024-08-07,0.5786
2024-08-08,0.5932
2024-08-09,0.5951
2024-08-12,0.595
2024-08-13,0.6033
2024-08-14,0.6053
2024-08-15,0.6053
2024-08-16,0.6155
2024-08-19,0.6204
2024-08-20,0.6191
2024-08-21,0.6213
2024-08-22,0.6175
2024-08-23,0.6234
2024-08-26,0.6205
2024-08-27,0.6226
2024-08-28,0.6189
2024-08-29,0.6199
2024-08-30,0.6247
2024-09-02,0.6247
2024-09-03,0.6115
2024-09-04,0.6099
2024-09-05,0.6074
2024-09-06,0.5977
2024-09-09,0.6031
2024-09-10,0.6033
2024-09-11,0.611
2024-09-12,0.617
2024-09-13,0.6193
2024-09-17,0.6207
2024-09-18,0.6176
2024-09-19,0.6295
2024-09-20,0.6254
2024-09-23,0.6266
2024-09-24,0.6308
2024-09-25,0.6298
2024-09-26,0.6371
2024-09-27,0.6348
2024-09-30,0.6338
2024-10-01,0.63
2024-10-02,0.6308
2024-10-03,0.6272
2024-10-04,0.6327
2024-10-07,0.6297
2024-10-08,0.6329
2024-10-09,0.636
2024-10-10,0.6346
2024-10-11,0.6375
2024-10-14,0.6398
2024-10-15,0.631
2024-10-16,0.6315
2024-10-17,0.6336
2024-10-18,0.6371
2024-10-21,0.6338
2024-10-22,0.6327
2024-10-23,0.626
2024-10-24,0.6283
2024-10-25,0.628
2024-10-28,0.6293
2024-10-29,0.6303
2024-10-30,0.6274
2024-11-01,0.6274
2024-11-04,0.6192
2024-11-05,0.6263
2024-11-06,0.6318
2024-11-07,0.6376
2024-11-08,0.6369
2024-11-11,0.639
2024-11-12,0.6332
2024-11-13,0.6318
2024-11-14,0.6287
2024-11-15,0.6193
2024-11-18,0.6224
2024-11-19,0.624
2024-11-20,0.6239
2024-11-21,0.6271
2024-11-22,0.6291
2024-11-25,0.6307
2024-11-26,0.6308
2024-11-27,0.6296
2024-11-28,0.6296
2024-11-29,0.6349
2024-12-02,0.6382
2024-12-03,0.6406
2024-12-04,0.6439
2024-12-05,0.6443
2024-12-06,0.648
2024-12-09,0.6456
2024-12-10,0.6413
2024-12-11,0.649
2024-12-12,0.6448
2024-12-13,0.6461
2024-12-16,0.6501
2024-12-17,0.6488
2024-12-18,0.6285
2024-12-19,0.6259
2024-12-20,0.6263
2024-12-23,0.6322
2024-12-24,0.6322
2024-12-26,0.6322
2024-12-27,0.6327
2024-12-30,0.626
2024-12-31,0.6228
2025-01-02,0.6217
2025-01-03,0.6278
2025-01-06,0.6329
2025-01-07,0.6266
2025-01-08,0.6269
2025-01-09,0.6269
2025-01-10,0.6191
2025-01-13,0.618
2025-01-14,0.6183
2025-01-15,0.6278
2025-01-16,0.6309
2025-01-17,0.6346
2025-01-20,0.6346
2025-01-21,0.6428
2025-01-22,0.6459
2025-01-23,0.649
2025-01-24,0.6506
2025-01-27,0.6401
2025-01-28,0.645
2025-01-31,0.6464
2025-02-03,0.6401
2025-02-04,0.646
2025-02-05,0.6497
2025-02-06,0.6537
2025-02-07,0.6478
2025-02-10,0.6508
2025-02-12,0.6513
2025-02-13,0.6595
2025-02-14,0.6577
2025-02-17,0.6577
2025-02-18,0.6593
2025-02-19,0.6568
2025-02-20,0.6539
2025-02-21,0.6469
2025-02-24,0.6427
2025-02-25,0.6391
2025-02-26,0.6422
2025-02-27,0.6324
2025-02-28,0.6396
2025-03-03,0.633
2025-03-04,0.6285
2025-03-05,0.6419
2025-03-06,0.6292
2025-03-07,0.63
2025-03-10,0.611
2025-03-11,0.6108
2025-03-12,0.6143
2025-03-13,0.6072
2025-03-14,0.6185
2025-03-17,0.6245
2025-03-19,0.6249
2025-03-20,0.6233
2025-03-21,0.6222
2025-03-24,0.6295
2025-03-25,0.6323
