Date,NAV,Dividend,TotalReturn
2021-05-03,0.6056,,0.6056
2021-05-04,0.6013,,0.6013
2021-05-05,0.6072,,0.6072
2021-05-06,0.6135,,0.6135
2021-05-07,0.6147,,0.6147
2021-05-10,0.6218,,0.6218
2021-05-11,0.6221,,0.6221
2021-05-12,0.6164,,0.6164
2021-05-13,0.6164,,0.6164
2021-05-14,0.6164,,0.6164
2021-05-17,0.6237,,0.6237
2021-05-18,0.6323,,0.6323
2021-05-19,0.6285,,0.6285
2021-05-20,0.6244,,0.6244
2021-05-21,0.635,,0.635
2021-05-24,0.635,,0.635
2021-05-25,0.6397,,0.6397
2021-05-26,0.6397,,0.6397
2021-05-27,0.6464,,0.6464
2021-05-28,0.6491,,0.6491
2021-05-31,0.6545,,0.6545
2021-06-01,0.65,,0.65
2021-06-02,0.6514,,0.6514
2021-06-03,0.6555,,0.6555
2021-06-04,0.6523,,0.6523
2021-06-07,0.6523,,0.6523
2021-06-08,0.6598,,0.6598
2021-06-09,0.653,,0.653
2021-06-10,0.6597,,0.6597
2021-06-11,0.6612,,0.6612
2021-06-14,0.6602,,0.6602
2021-06-15,0.6643,,0.6643
2021-06-16,0.6597,,0.6597
2021-06-17,0.6513,,0.6513
2021-06-18,0.6521,,0.6521
2021-06-21,0.6531,,0.6531
2021-06-22,0.651,,0.651
2021-06-23,0.651,,0.651
2021-06-24,0.6518,,0.6518
2021-06-25,0.6557,,0.6557
2021-06-28,0.6567,,0.6567
2021-06-29,0.6534,,0.6534
2021-06-30,0.6526,,0.6526
2021-07-01,0.6507,,0.6507
2021-07-02,0.6517,,0.6517
2021-07-05,0.6589,,0.6589
2021-07-06,0.6547,,0.6547
2021-07-07,0.6566,,0.6566
2021-07-08,0.6514,,0.6514
2021-07-09,0.653,,0.653
2021-07-12,0.6556,,0.6556
2021-07-13,0.6614,,0.6614
2021-07-14,0.6604,,0.6604
2021-07-15,0.6663,,0.6663
2021-07-16,0.6668,,0.6668
2021-07-19,0.6581,,0.6581
2021-07-20,0.6581,,0.6581
2021-07-21,0.6581,,0.6581
2021-07-22,0.6659,,0.6659
2021-07-23,0.6683,,0.6683
2021-07-26,0.6643,,0.6643
2021-07-27,0.6616,,0.6616
2021-07-28,0.66,,0.66
2021-07-29,0.6645,,0.6645
2021-07-30,0.664,,0.664
2021-08-02,0.6722,,0.6722
2021-08-03,0.6813,,0.6813
2021-08-04,0.6802,,0.6802
2021-08-05,0.6781,,0.6781
2021-08-06,0.6777,,0.6777
2021-08-09,0.6789,,0.6789
2021-08-10,0.6789,,0.6789
2021-08-11,0.6769,,0.6769
2021-08-12,0.6824,,0.6824
2021-08-13,0.6853,,0.6853
2021-08-16,0.6859,,0.6859
2021-08-17,0.69,,0.69
2021-08-18,0.6892,,0.6892
2021-08-19,0.6892,,0.6892
2021-08-20,0.6821,,0.6821
2021-08-23,0.6834,,0.6834
2021-08-24,0.6908,,0.6908
2021-08-25,0.6892,,0.6892
2021-08-26,0.6907,,0.6907
2021-08-27,0.7007,,0.7007
2021-08-30,0.714,,0.714
2021-08-31,0.714,,0.714
2021-09-01,0.7223,,0.7223
2021-09-02,0.7303,,0.7303
2021-09-03,0.7336,,0.7336
2021-09-06,0.7359,,0.7359
2021-09-07,0.73,,0.73
2021-09-08,0.7288,,0.7288
2021-09-09,0.7305,,0.7305
2021-09-10,0.7305,,0.7305
2021-09-13,0.7286,,0.7286
2021-09-14,0.729,,0.729
2021-09-15,0.7359,,0.7359
2021-09-16,0.7359,,0.7359
2021-09-17,0.7325,,0.7325
2021-09-20,0.7209,,0.7209
2021-09-21,0.73,,0.73
2021-09-22,0.7287,,0.7287
2021-09-23,0.7422,,0.7422
2021-09-24,0.7369,,0.7369
2021-09-27,0.7336,,0.7336
2021-09-28,0.7225,,0.7225
2021-09-29,0.7212,,0.7212
2021-09-30,0.7186,,0.7186
2021-10-01,0.7168,,0.7168
2021-10-04,0.7257,,0.7257
2021-10-05,0.7272,,0.7272
2021-10-06,0.7147,,0.7147
2021-10-07,0.7255,,0.7255
2021-10-08,0.7249,,0.7249
2021-10-11,0.722,,0.722
2021-10-12,0.7229,,0.7229
2021-10-13,0.7277,,0.7277
2021-10-14,0.7337,,0.7337
2021-10-15,0.7337,,0.7337
2021-10-18,0.7383,,0.7383
2021-10-19,0.7383,,0.7383
2021-10-20,0.7278,,0.7278
2021-10-21,0.7233,,0.7233
2021-10-22,0.7189,,0.7189
2021-10-25,0.7189,,0.7189
2021-10-26,0.7301,,0.7301
2021-10-27,0.7253,,0.7253
2021-10-28,0.715,,0.715
2021-10-29,0.7118,,0.7118
2021-11-01,0.7118,,0.7118
2021-11-02,0.7253,,0.7253
2021-11-03,0.7268,,0.7268
2021-11-04,0.7268,,0.7268
2021-11-05,0.7268,,0.7268
2021-11-08,0.7373,,0.7373
2021-11-09,0.74,,0.74
2021-11-10,0.7349,,0.7349
2021-11-11,0.7276,,0.7276
2021-11-12,0.7371,,0.7371
2021-11-15,0.7352,,0.7352
2021-11-16,0.7334,,0.7334
2021-11-17,0.7367,,0.7367
2021-11-18,0.7274,,0.7274
2021-11-19,0.7274,,0.7274
2021-11-22,0.7092,,0.7092
2021-11-23,0.7151,,0.7151
2021-11-24,0.7141,,0.7141
2021-11-25,0.7197,,0.7197
2021-11-26,0.6943,,0.6943
2021-11-29,0.6944,,0.6944
2021-11-30,0.6951,,0.6951
2021-12-01,0.7021,,0.7021
2021-12-02,0.706,,0.706
2021-12-06,0.6841,,0.6841
2021-12-07,0.6958,,0.6958
2021-12-08,0.7052,,0.7052
2021-12-09,0.7055,,0.7055
2021-12-10,0.7038,,0.7038
2021-12-13,0.7028,,0.7028
2021-12-14,0.6993,,0.6993
2021-12-15,0.6924,,0.6924
2021-12-16,0.6941,,0.6941
2021-12-17,0.6821,,0.6821
2021-12-20,0.6673,,0.6673
2021-12-21,0.6824,,0.6824
2021-12-22,0.6932,,0.6932
2021-12-23,0.6975,,0.6975
2021-12-24,0.6975,,0.6975
2021-12-27,0.7,,0.7
2021-12-28,0.7084,,0.7084
2021-12-29,0.7068,,0.7068
2021-12-30,0.7088,,0.7088
2021-12-31,0.7159,,0.7159
2022-01-03,0.7238,,0.7238
2022-01-04,0.724,,0.724
2022-01-05,0.7264,,0.7264
2022-01-06,0.7194,,0.7194
2022-01-07,0.7229,,0.7229
2022-01-10,0.729,,0.729
2022-01-11,0.7295,,0.7295
2022-01-12,0.7373,,0.7373
2022-01-13,0.7381,,0.7381
2022-01-14,0.7375,,0.7375
2022-01-17,0.7407,,0.7407
2022-01-19,0.7249,,0.7249
2022-01-20,0.7214,,0.7214
2022-01-21,0.7133,,0.7133
2022-01-24,0.6886,,0.6886
2022-01-25,0.6944,,0.6944
2022-01-26,0.6944,,0.6944
2022-01-27,0.6798,,0.6798
2022-01-28,0.6847,,0.6847
2022-01-31,0.6981,,0.6981
2022-02-03,0.7007,,0.7007
2022-02-04,0.7014,,0.7014
2022-02-07,0.6917,,0.6917
2022-02-08,0.6902,,0.6902
2022-02-09,0.6979,,0.6979
2022-02-10,0.698,,0.698
2022-02-11,0.6797,,0.6797
2022-02-14,0.6567,,0.6567
2022-02-15,0.6812,,0.6812
2022-02-16,0.6782,,0.6782
2022-02-17,0.6755,,0.6755
2022-02-18,0.676,,0.676
2022-02-21,0.6748,,0.6748
2022-02-22,0.6666,,0.6666
2022-02-23,0.6714,,0.6714
2022-02-24,0.6295,,0.6295
2022-02-25,0.6589,,0.6589
2022-02-28,0.6624,,0.6624
2022-03-02,0.6553,,0.6553
2022-03-03,0.6501,,0.6501
2022-03-04,0.6393,,0.6393
2022-03-07,0.6202,,0.6202
2022-03-08,0.6288,,0.6288
2022-03-09,0.6409,,0.6409
2022-03-10,0.6491,,0.6491
2022-03-11,0.6475,,0.6475
2022-03-14,0.6533,,0.6533
2022-03-15,0.6459,,0.6459
2022-03-16,0.6603,,0.6603
2022-03-17,0.6721,,0.6721
2022-03-18,0.6721,,0.6721
2022-03-21,0.6632,,0.6632
2022-03-22,0.6678,,0.6678
2022-03-23,0.6634,,0.6634
2022-03-24,0.665,,0.665
2022-03-25,0.6629,,0.6629
2022-03-28,0.665,,0.665
2022-03-29,0.6705,,0.6705
2022-03-30,0.6779,,0.6779
2022-03-31,0.6761,,0.6761
2022-04-01,0.6811,,0.6811
2022-04-04,0.691,,0.691
2022-04-05,0.6911,,0.6911
2022-04-06,0.6827,,0.6827
2022-04-07,0.678,,0.678
2022-04-08,0.686,,0.686
2022-04-11,0.6842,,0.6842
2022-04-12,0.6764,,0.6764
2022-04-13,0.6775,,0.6775
2022-04-14,0.6775,,0.6775
2022-04-15,0.6775,,0.6775
2022-04-18,0.6775,,0.6775
2022-04-20,0.6673,,0.6673
2022-04-21,0.6749,,0.6749
2022-04-22,0.6634,,0.6634
2022-04-25,0.6527,,0.6527
2022-04-26,0.6625,,0.6625
2022-04-27,0.6549,,0.6549
2022-04-28,0.6632,,0.6632
2022-04-29,0.6582,,0.6582
2022-05-05,0.6471,,0.6471
2022-05-06,0.6315,,0.6315
2022-05-09,0.6315,,0.6315
2022-05-10,0.6207,,0.6207
2022-05-11,0.6188,,0.6188
2022-05-12,0.6063,,0.6063
2022-05-13,0.6068,,0.6068
2022-05-17,0.6234,,0.6234
2022-05-18,0.6209,,0.6209
2022-05-19,0.605,,0.605
2022-05-20,0.6219,,0.6219
2022-05-23,0.6194,,0.6194
2022-05-24,0.6148,,0.6148
2022-05-25,0.6105,,0.6105
2022-05-26,0.6105,,0.6105
2022-05-27,0.6219,,0.6219
2022-05-30,0.6335,,0.6335
2022-05-31,0.6305,,0.6305
2022-06-01,0.6308,,0.6308
2022-06-02,0.6341,,0.6341
2022-06-03,0.6295,,0.6295
2022-06-07,0.6236,,0.6236
2022-06-08,0.6209,,0.6209
2022-06-09,0.625,,0.625
2022-06-10,0.6156,,0.6156
2022-06-13,0.6009,,0.6009
2022-06-14,0.6006,,0.6006
2022-06-15,0.5998,,0.5998
2022-06-16,0.5889,,0.5889
2022-06-17,0.5856,,0.5856
2022-06-20,0.5861,,0.5861
2022-06-21,0.5952,,0.5952
2022-06-22,0.5868,,0.5868
2022-06-23,0.5868,,0.5868
2022-06-24,0.5976,,0.5976
2022-06-27,0.6019,,0.6019
2022-06-28,0.6003,,0.6003
2022-06-29,0.5981,,0.5981
2022-06-30,0.5961,,0.5961
2022-07-01,0.5955,,0.5955
2022-07-04,0.6011,,0.6011
2022-07-05,0.5977,,0.5977
2022-07-06,0.6049,,0.6049
2022-07-07,0.6088,,0.6088
2022-07-08,0.6105,,0.6105
2022-07-12,0.6044,,0.6044
2022-07-13,0.6024,,0.6024
2022-07-14,0.6004,,0.6004
2022-07-15,0.6033,,0.6033
2022-07-18,0.6107,,0.6107
2022-07-19,0.6114,,0.6114
2022-07-20,0.6155,,0.6155
2022-07-21,0.6196,,0.6196
2022-07-22,0.622,,0.622
2022-07-25,0.621,,0.621
2022-07-26,0.614,,0.614
2022-07-27,0.6185,,0.6185
2022-07-28,0.6254,,0.6254
2022-07-29,0.6356,,0.6356
2022-08-01,0.6419,,0.6419
2022-08-02,0.6456,,0.6456
2022-08-03,0.6421,,0.6421
2022-08-04,0.6407,,0.6407
2022-08-05,0.6434,,0.6434
2022-08-08,0.6433,,0.6433
2022-08-09,0.6433,,0.6433
2022-08-10,0.6437,,0.6437
2022-08-11,0.648,,0.648
2022-08-12,0.6481,,0.6481
2022-08-15,0.6481,,0.6481
2022-08-16,0.6521,,0.6521
2022-08-17,0.6543,,0.6543
2022-08-18,0.6534,,0.6534
2022-08-19,0.6452,,0.6452
2022-08-22,0.6378,,0.6378
2022-08-23,0.6418,,0.6418
2022-08-24,0.6443,,0.6443
2022-08-25,0.6431,,0.6431
2022-08-26,0.6439,,0.6439
2022-08-29,0.6351,,0.6351
2022-08-30,0.653,,0.653
2022-09-01,0.6468,,0.6468
2022-09-02,0.644,,0.644
2022-09-05,0.6487,,0.6487
2022-09-06,0.6486,,0.6486
2022-09-07,0.647,,0.647
2022-09-08,0.6546,,0.6546
2022-09-09,0.6579,,0.6579
2022-09-12,0.6627,,0.6627
2022-09-13,0.6689,,0.6689
2022-09-14,0.6636,,0.6636
2022-09-15,0.6622,,0.6622
2022-09-19,0.6524,,0.6524
2022-09-20,0.6601,,0.6601
2022-09-21,0.6537,,0.6537
2022-09-22,0.6472,,0.6472
2022-09-23,0.6359,,0.6359
2022-09-26,0.6192,,0.6192
2022-09-27,0.6224,,0.6224
2022-09-28,0.6166,,0.6166
2022-09-29,0.619,,0.619
2022-09-30,0.6311,,0.6311
2022-10-03,0.6179,,0.6179
2022-10-04,0.6339,,0.6339
2022-10-05,0.6339,,0.6339
2022-10-06,0.6318,,0.6318
2022-10-07,0.6274,,0.6274
2022-10-11,0.6149,,0.6149
2022-10-12,0.6199,,0.6199
2022-10-13,0.6146,,0.6146
2022-10-14,0.6198,,0.6198
2022-10-17,0.6247,,0.6247
2022-10-18,0.6307,,0.6307
2022-10-19,0.6248,,0.6248
2022-10-20,0.6257,,0.6257
2022-10-21,0.6259,,0.6259
2022-10-25,0.6289,,0.6289
2022-10-26,0.6289,,0.6289
2022-10-27,0.6329,,0.6329
2022-10-28,0.6317,,0.6317
2022-10-31,0.6358,,0.6358
2022-11-01,0.6358,,0.6358
2022-11-02,0.6347,,0.6347
2022-11-03,0.6328,,0.6328
2022-11-04,0.6348,,0.6348
2022-11-07,0.641,,0.641
2022-11-08,0.641,,0.641
2022-11-09,0.6428,,0.6428
2022-11-10,0.6351,,0.6351
2022-11-11,0.6486,,0.6486
2022-11-14,0.6438,,0.6438
2022-11-15,0.6459,,0.6459
2022-11-16,0.6438,,0.6438
2022-11-17,0.6388,,0.6388
2022-11-21,0.6338,,0.6338
2022-11-22,0.6372,,0.6372
2022-11-23,0.6362,,0.6362
2022-11-24,0.6428,,0.6428
2022-11-25,0.6429,,0.6429
2022-11-29,0.6461,,0.6461
2022-11-30,0.6523,,0.6523
2022-12-01,0.6544,,0.6544
2022-12-02,0.6518,,0.6518
2022-12-05,0.6461,,0.6461
2022-12-06,0.6374,,0.6374
2022-12-07,0.638,,0.638
2022-12-08,0.6405,,0.6405
2022-12-09,0.6382,,0.6382
2022-12-12,0.6356,,0.6356
2022-12-13,0.6367,,0.6367
2022-12-14,0.6395,,0.6395
2022-12-15,0.63,,0.63
2022-12-16,0.6231,,0.6231
2022-12-19,0.6288,,0.6288
2022-12-20,0.6265,,0.6265
2022-12-21,0.6198,,0.6198
2022-12-22,0.6186,,0.6186
2022-12-23,0.6069,,0.6069
2022-12-27,0.6191,,0.6191
2022-12-28,0.6172,,0.6172
2022-12-29,0.6201,,0.6201
2022-12-30,0.6166,,0.6166
2023-01-03,0.6192,,0.6192
2023-01-04,0.6147,,0.6147
2023-01-05,0.6169,,0.6169
2023-01-06,0.6109,,0.6109
2023-01-09,0.6207,,0.6207
2023-01-10,0.619,,0.619
2023-01-11,0.6194,,0.6194
2023-01-12,0.6186,,0.6186
2023-01-13,0.6225,,0.6225
2023-01-16,0.618,,0.618
2023-01-17,0.6208,,0.6208
2023-01-18,0.6269,,0.6269
2023-01-19,0.624,,0.624
2023-01-20,0.6221,,0.6221
2023-01-25,0.6131,,0.6131
2023-01-27,0.6051,,0.6051
2023-01-30,0.6062,,0.6062
2023-01-31,0.6061,,0.6061
2023-02-02,0.6046,,0.6046
2023-02-03,0.6133,,0.6133
2023-02-07,0.6036,,0.6036
2023-02-08,0.6099,,0.6099
2023-02-09,0.6086,,0.6086
2023-02-10,0.6093,,0.6093
2023-02-13,0.6035,,0.6035
2023-02-14,0.6072,,0.6072
2023-02-15,0.6098,,0.6098
2023-02-16,0.6135,,0.6135
2023-02-17,0.6083,,0.6083
2023-02-20,0.607,,0.607
2023-02-21,0.6053,,0.6053
